상품명,가격,변화량,변화율
원유[USD/Bbl],70.828,0.412,-0.0058
브렌트[USD/Bbl],74.819,0.351,-0.0047
천연 가스[USD/MMBtu],3.3714,0.2424,7.75%
가솔린[USD/Gal],2.0472,0.0121,-0.0059
난방 오일[USD/Gal],2.2725,0.0013,-0.0006
석탄[USD/T],141.25,0.25,-0.0018
TTF 가스[EUR/MWh],46.96,0.06,0.13%
영국 가스[GBp/thm],117.1889,3.3858,-0.0281
에탄올[USD/Gal],1.605,0.03,-0.0183
나프타[USD/T],628.81,0.53,0.08%
우라늄[USD/Lbs],77.8,0.8,-0.0102
프로판[USD/Gal],0.81,0,0.35%
메탄올[CNY/T],2572,27,1.06%
우랄 오일[USD/Bbl],69.38,0.94,1.37%
금[USD/t.oz],2670.71,45.14,-0.0166
은[USD/t.oz],30.777,0.565,-0.018
구리[USD/Lbs],4.0946,0.0206,0.51%
강철[CNY/T],3306,42,-0.0125
철광석[USD/T],101.95,0.07,-0.0007
리튬[CNY/T],79100,300,-0.0038
백금[USD/t.oz],951.3,9.6,-0.01
티탄[CNY/KG],43.5,0,0.00%
열연강판[USD/T],676.06,3.94,-0.0058
철광석 CNY[CNY/T],788.5,7.5,0.96%
콩[USd/Bu],986.95,3.45,0.35%
밀[USd/Bu],543.1,1.15,-0.0021
재목[USD/1000 board feet],591.06,5.96,-0.01
팜유[MYR/T],4738,98,2.11%
치즈[USD/Lbs],1.745,0.008,-0.0046
우유[USD/CWT],19.87,0,0.00%
고무[USD Cents / Kg],185.4,2.9,-0.0154
오렌지 주스[USd/Lbs],505.53,1.5,0.30%
커피[USd/Lbs],302.84,0.25,0.08%
면[USd/Lbs],71.03,0.28,0.39%
코코아[USD/T],8807.7,100.24,1.15%
쌀[USD/cwt],15.145,0.025,-0.0016
놀라[CAD/T],598.84,6.25,1.05%
귀리[USd/Bu],348.5145,0.7355,-0.0021
양모[AUD/100Kg],1137,0,0.00%
설탕[USd/Lbs],21.37,0,0.00%
차[INR/Kgs],217.97,8.22,-0.0363
해바라기 유[USD/T],1326.1,9.7,-0.0073
유채[EUR/T],508.76,0.49,0.10%
버터[EUR/T],7785,7,-0.0009
감자들[EUR/100KG],27.8,0.2,-0.0071
옥수수[USd/BU],424.7904,0.7096,-0.0017
역청[CNY/T],3413,23,0.68%
코발트[USD/T],24300,0,0.00%
납[USD/T],2041,15,0.74%
알루미늄[USD/T],2645,10,0.38%
주석[USD/T],28914,164,0.57%
아연[USD/T],2985,9,0.30%
니켈[USD/T],15856,149,0.95%
몰리브덴[CNY/Kg],480,0,0.00%
팔라듐[USD/t.oz],999.5,11.5,-0.0114
로듐[USD/t oz.],4600,0,0.00%
폴리에틸렌[CNY/T],8628,14,-0.0016
폴리비닐[CNY/T],5225,18,-0.0034
폴리프로필렌[CNY/T],7504,6,-0.0008
소다 애쉬[CNY/T],1546,0,0.00%
네오디뮴[CNY/T],517500,"7,500",-0.0143
텔루르[CNY/Kg],665,0,0.00%
요소[USD/T],312,0,0.00%
디암모늄[USD/T],575,0,0.00%
마그네슘[CNY/T],17500,100,0.57%
갈륨[CNY/Kg],2275,50,-0.0215
게르마늄[CNY/Kg],18550,0,0.00%
망간[CNY/mtu],29.25,0,0.00%
인듐[CNY/Kg],2575,30,-0.0115
크래프트 펄프[CNY/T],5854,10,-0.0017
피더 소[USd/Lbs],254.4444,0.8371,0.33%
라이브 소[USd/Lbs],186.6932,1.2146,0.65%
혹스 린[USd/Lbs],81.675,0.875,1.08%
쇠고기[BRL/15KG],347.55,0.5,0.14%
가금류[BRL/Kgs],8.17,0,0.00%
계란 미국[USD/Dozen],4.16,0,0.00%
계란 CH[CNY/T],3975,30,0.76%
연어[NOK/KG],83.02,4.58,5.84%
CRB 지수[Index Points],346.98,1.94,0.56%
LME 지수[Index Points],3994.6,7.5,-0.0019
GSCI[Index Points],548.58,1.39,0.25%
SSE 소비 상품 지수[Index Points],7939.51,2.16,0.03%
컨테이너 화물지수[Points],2160.08,91.82,-0.0408
원자력 지수[USD],33.26,0.16,0.48%
태양 에너지 지수[USD],35,0.34,0.98%
EU 탄소 배출 허가량[EUR],69.27,0.72,-0.0103
풍력 에너지 지수[USD],15.65,0.08,0.51%
연합 왕국[GBP/MWh],95.15,3.55,-0.036
독일[EUR/MWh],117.1,0.27,-0.0023
프랑스[EUR/MWh],78.75,3.45,-0.042
이탈리아[EUR/MWh],143.31,6.92,5.07%
스페인[EUR/MWh],81.73,37.79,-0.3162
